species,p_raw,clr_fc,mean_CD,mean_H,p_adj,-log10p,significant,direction
Eggerthella lenta,2.985825610877708e-22,0.6908840325504504,-1.3521718985652011,-2.0430559311156515,2.557928208783994e-21,20.592111648663654,False,ns
Collinsella intestinalis,2.7650286731291794e-22,0.6305433733077264,-1.4997555271555907,-2.130298900463317,2.557928208783994e-21,20.592111648663654,False,ns
Clostridium spiroforme,3.1449936993245825e-22,0.5885689706355133,-1.3545779513868559,-1.9431469220223692,2.557928208783994e-21,20.592111648663654,False,ns
Clostridium clostridioforme,3.666354899600092e-22,1.196789557241946,-0.38886057688674597,-1.585650134128692,2.79559561094507e-21,20.553525650035326,True,Higher in CD
Clostridium innocuum,6.385952002685132e-20,0.5684754375649141,-1.3030209613191763,-1.8714963988840905,4.582859672515212e-19,18.338863440679138,False,ns
Clostridium citroniae,3.4017024689761114e-19,0.6999503021596118,-1.1091571047803934,-1.8091074069400053,2.305598340083809e-18,17.63721634920041,False,ns
Blautia sp CAG 257,6.30232896480878e-17,0.6488858343648392,-1.1040313603637832,-1.7529171947286224,4.0467585984561643e-16,15.392892701831647,False,ns
Bacteroides fragilis,1.2301025747943743e-16,1.8863192664649522,2.5278910283288645,0.6415717618639124,7.503625706245684e-16,15.124728837444327,True,Higher in CD
Collinsella stercoris,2.661390868546442e-16,0.4546400890120623,-1.56308294248416,-2.0177230314962222,1.5461413617269807e-15,14.810750801613445,False,ns
Bacteroides intestinalis,4.487593827639258e-15,0.4260331852469639,-1.2175998873884524,-1.6436330726354162,2.4885747589635886e-14,13.604049308137688,False,ns
Ruminococcus gnavus,5.993189885625906e-15,1.269271415155401,0.9583939988101109,-0.3108774163452902,3.1789963741146114e-14,13.497709967430591,True,Higher in CD
Flavonifractor plautii,1.776742123994783e-14,1.3136698281753563,3.3246396334892276,2.0109698053138714,9.031772463640148e-14,13.044227012074039,True,Higher in CD
Veillonella sp T11011 6,2.234871908750939e-14,0.29573197971994714,-1.4618047048060523,-1.7575366845259994,1.0906174914704582e-13,12.962327541319853,False,ns
Streptococcus salivarius,4.480047885418255e-14,0.5765102022558863,-0.9739422579532215,-1.5504524602091079,2.102176315465489e-13,12.677330861275209,False,ns
Streptococcus parasanguinis,7.63748950736622e-14,0.542042787697441,-0.9621918413860602,-1.5042346290835011,3.4510137774025146e-13,12.462053306881232,False,ns
Veillonella atypica,7.937619795545065e-14,0.6427546727455572,-0.7736027303074223,-1.4163574030529795,3.4585343394874925e-13,12.46110790789165,False,ns
Firmicutes bacterium CAG 94,3.5352641941247227e-13,0.26440638388819115,-1.2210813416509925,-1.4854877255391836,1.487249074769711e-12,11.827616292581201,False,ns
Haemophilus sp HMSC71H05,8.133479538097595e-13,0.4515616347422975,-1.2669606309753392,-1.7185222657176367,3.3076150121596886e-12,11.480485045620316,False,ns
Intestinibacter bartlettii,1.045940241019252e-12,0.555223267249668,-1.1328418673838756,-1.6880651346335436,4.116280948527379e-12,11.38549499099631,False,ns
Anaerotignum lactatifermentans,1.0815147018744684e-12,0.5299462457993391,-0.9627526842256116,-1.4926989300249507,4.1232748008964105e-12,11.384757720125657,False,ns
Ruminococcaceae bacterium D16,1.3982207096712682e-12,0.42564727015328874,-1.404690459797977,-1.8303377299512658,5.169179593330143e-12,11.286578378833019,False,ns
Hungatella hathewayi,1.6210415911815921e-12,0.4321700646128347,-0.8587737294949734,-1.2909437941078081,5.816678650710419e-12,11.235324928651046,False,ns
Anaeromassilibacillus sp An250,2.0778851724728633e-12,0.5750952717967495,-1.004731013208519,-1.5798262850052684,7.242914029762552e-12,11.140086669655188,False,ns
Firmicutes bacterium CAG 83,3.758701765730701e-12,-1.2396933279485012,-0.2719758138965441,0.9677175140519572,1.273782265053182e-11,10.894904802116363,True,Lower in CD
Sutterella parvirubra,9.821532652370537e-12,0.7633455630045983,-0.6868141677056417,-1.45015973071024,3.2384513069978526e-11,10.489662628565661,False,ns
Alistipes shahii,1.7339863760691893e-11,-1.3480521216553676,-0.20919858074479086,1.1388535409105767,5.567008891590555e-11,10.254378085040173,True,Lower in CD
