species,p_raw,clr_fc,mean_UC,mean_H,p_adj,-log10p,significant,direction
Clostridium saccharolyticum,1.6950160798362218e-07,0.5162026379133973,-1.4050208024847757,-1.921223440398173,5.588971938919434e-07,6.252668070882044,False,ns
Veillonella sp T11011 6,2.1928619770945854e-07,0.16995371364035483,-1.5875829708856446,-1.7575366845259994,7.0402410843563e-07,6.152412468725373,False,ns
Clostridium citroniae,2.3792032158928315e-07,0.3119039033811548,-1.4972035035588505,-1.8091074069400053,7.442635700998088e-07,6.128273238151525,False,ns
Bacteroides intestinalis,2.989363704052978e-07,0.2748786077383574,-1.3687544648970589,-1.6436330726354162,9.117559297361585e-07,6.040121403508211,False,ns
Ruminococcus torques,4.247107678687618e-07,-0.8707941825109375,0.3166189441501767,1.1874131266611143,1.2637735043899743e-06,5.898330754066074,False,ns
Veillonella atypica,8.711844774256876e-07,0.449493073540725,-0.9668643295122545,-1.4163574030529795,2.5305834820460447e-06,5.596779331070506,False,ns
Sellimonas intestinalis,9.114537343284655e-07,0.44585064715621536,-1.2489707458292367,-1.694821392985452,2.5859850136761115e-06,5.587373996275667,False,ns
Gemmiger formicilis,1.2523776187817023e-06,-0.7605290498487497,-1.2992000731680884,-0.5386710233193387,3.4725015793492653e-06,5.459357548066224,False,ns
Blautia obeum,1.4934938677243051e-06,0.8688895001380998,1.0185650930767995,0.14967559293869975,4.049027819163671e-06,5.392649239366985,False,ns
Bifidobacterium bifidum,2.3255461363225862e-06,0.49801090770674583,-0.6121751629022048,-1.1101860706089506,6.1677527963338165e-06,5.209873041140559,False,ns
Streptococcus thermophilus,3.1055499873021264e-06,0.31642679277634755,-1.366665449772622,-1.6830922425489696,8.061214860656584e-06,5.093599503167482,False,ns
Ruminococcaceae bacterium D16,3.867464861038153e-06,0.3592082041228042,-1.4711295258284616,-1.8303377299512658,9.829806521805306e-06,5.007455030218654,False,ns
Blautia sp CAG 257,4.6154605622778115e-06,0.23637973945001822,-1.5165374552786042,-1.7529171947286224,1.1491554869344755e-05,4.939621204950485,False,ns
Ruminococcus gnavus,5.177456531248791e-06,0.690557540350739,0.3796801240054488,-0.3108774163452902,1.263299393624705e-05,4.898493712318481,False,ns
Eisenbergiella tayi,2.634532799513145e-05,0.2654485014624992,-1.2995054707079892,-1.5649539721704884,6.302215716482425e-05,4.200506735583693,False,ns
Coprococcus catus,2.7267507256123155e-05,0.3748116446404075,-1.0325405485905927,-1.4073521932310002,6.397376702398125e-05,4.193998075582885,False,ns
Lactobacillus rogosae,8.190591091192191e-05,0.2520582057832117,-1.5020909016778428,-1.7541491074610545,0.00018853813455197118,3.724600794262091,False,ns
Hungatella hathewayi,9.106045378243596e-05,0.2491119855517594,-1.0418318085560487,-1.2909437941078081,0.00020572917336031827,3.686704118946784,False,ns
Intestinibacter bartlettii,9.91292094754542e-05,0.20120647110694212,-1.4868586635266015,-1.6880651346335436,0.00021988661010918933,3.65780121599048,False,ns
