species,p_raw,clr_fc,mean_CD,mean_UC,p_adj,-log10p,significant,direction
Alistipes finegoldii,0.19629225402362493,0.35346865775002523,1.377937865521646,1.0244692077716209,0.3091660781477455,0.5098081631412471,False,ns
Bifidobacterium bifidum,0.197663558160034,-0.30609121622111,-0.9182663791233148,-0.6121751629022048,0.3091660781477455,0.5098081631412471,False,ns
Escherichia coli,0.19439924566408318,0.4096796815030779,1.0025764134359025,0.5928967319328247,0.3091660781477455,0.5098081631412471,False,ns
Clostridium sp CAG 242,0.22131033636035102,-0.31786666512041584,-1.3994592278401188,-1.081592562719703,0.3417703928602889,0.46626556237107775,False,ns
Clostridium asparagiforme,0.26699077224734025,-0.16067312455957028,-1.5223221191347116,-1.3616489945751413,0.4071609276771939,0.3902339048077306,False,ns
Bacteroides thetaiotaomicron,0.2730908323541388,-0.26541496704064826,2.4735240045816314,2.7389389716222796,0.41132199440993744,0.38581806706393934,False,ns
Clostridium symbiosum,0.3110558249086921,-0.14281215702603944,-0.1446843075529002,-0.001872150526860755,0.4627903736446395,0.33461568324771684,False,ns
Bacteroides dorei,0.3197305578276636,-0.3883310200593323,0.9410149871480592,1.3293460072073915,0.46996539825271033,0.3279341163219453,False,ns
Veillonella infantium,0.3297586587779545,0.06051916400127566,-1.199496805294706,-1.2600159692959816,0.4789351948917911,0.3197232473473073,False,ns
Ruthenibacterium lactatiformans,0.3425491827333229,0.14871214697779894,0.6247527547188305,0.4760406077410316,0.4859418638775046,0.31341568486823124,False,ns
Butyricimonas synergistica,0.34065512650304874,0.13322869277461624,-1.3433573287344225,-1.4765860215090387,0.4859418638775046,0.31341568486823124,False,ns
Haemophilus parainfluenzae,0.354510637139679,0.1564494339574546,-0.2247617833488159,-0.3812112173062705,0.4928728697165266,0.3072650870120133,False,ns
Bacteroides uniformis,0.35828769167552177,-0.053482771870061896,5.281641797520727,5.335124569390789,0.4928728697165266,0.3072650870120133,False,ns
Prevotella copri,0.3635947399548147,-0.11204141820273661,-0.7038507561014709,-0.5918093378987342,0.4928728697165266,0.3072650870120133,False,ns
Faecalibacterium prausnitzii,0.36289974090637445,-0.5621441055217611,5.450605513932484,6.012749619454245,0.4928728697165266,0.3072650870120133,False,ns
Oscillibacter sp 57 20,0.3990320657880283,0.26109778857311194,0.4743513077585824,0.21325351918547045,0.5349660662213126,0.2716737651193852,False,ns
Eisenbergiella tayi,0.4075532376784584,0.11595282675829144,-1.1835526439496977,-1.2995054707079892,0.5404510325736079,0.26724364906767184,False,ns
Bacteroides vulgatus,0.41971399659045805,-0.5609045943218245,5.261093343498956,5.821997937820781,0.5486326260894017,0.2607183693358023,False,ns
Butyricimonas virosa,0.42721393015158327,0.07918091068871136,-1.0419582535760368,-1.1211391642647481,0.5486326260894017,0.2607183693358023,False,ns
Ruminococcus bicirculans,0.4264476770126534,-0.1409400754641718,0.04735414700124817,0.18829422246542,0.5486326260894017,0.2607183693358023,False,ns
